"Net","Name","X Coord","Y Coord","Side","Hole Size","Type"
"Y-MAX","Y+-1","11.6116mm","57.818mm","Bottom","0.9mm","Through hole"
"Z-MIN","Z--1","11.6116mm","55.278mm","Bottom","0.9mm","Through hole"
"GND","Z--2","9.0716mm","55.278mm","Bottom","0.9mm","Through hole"
"+5V","Z--3","6.5316mm","55.278mm","Bottom","0.9mm","Through hole"
"+5V","Z+-3","6.5316mm","52.738mm","Bottom","0.9mm","Through hole"
"GND","Z+-2","9.0716mm","52.738mm","Bottom","0.9mm","Through hole"
"Z-MAX","Z+-1","11.6116mm","52.738mm","Bottom","0.9mm","Through hole"
"+5V","ENC_4-4","6.532mm","40.165mm","Bottom","0.9mm","Through hole"
"GND","ENC_4-3","9.072mm","40.165mm","Bottom","0.9mm","Through hole"
"SDA","ENC_4-2","11.612mm","40.165mm","Bottom","0.9mm","Through hole"
"SCL","ENC_4-1","14.152mm","40.165mm","Bottom","0.9mm","Through hole"
"MISO2","ISP2-1","33.4264mm","20.4292mm","Bottom","0.9mm","Through hole"
"+5V","ISP2-2","33.4264mm","22.9692mm","Bottom","0.9mm","Through hole"
"SCK2","ISP2-3","35.9664mm","20.4292mm","Bottom","0.9mm","Through hole"
"MOSI2","ISP2-4","35.9664mm","22.9692mm","Bottom","0.9mm","Through hole"
"RESET2","ISP2-5","38.5064mm","20.4292mm","Bottom","0.9mm","Through hole"
"GND","ISP2-6","38.5064mm","22.9692mm","Bottom","0.9mm","Through hole"
"THERM4","Thermistors-10","9.072mm","24.036mm","Bottom","0.9mm","Through hole"
"GND","Thermistors-9","6.532mm","24.036mm","Bottom","0.9mm","Through hole"
"THERM3","Thermistors-8","9.072mm","26.576mm","Bottom","0.9mm","Through hole"
"GND","Thermistors-7","6.532mm","26.576mm","Bottom","0.9mm","Through hole"
"THERM2","Thermistors-6","9.072mm","29.116mm","Bottom","0.9mm","Through hole"
"GND","Thermistors-5","6.532mm","29.116mm","Bottom","0.9mm","Through hole"
"THERM1","Thermistors-4","9.072mm","31.656mm","Bottom","0.9mm","Through hole"
"GND","Thermistors-3","6.532mm","31.656mm","Bottom","0.9mm","Through hole"
"THERM0","Thermistors-2","9.072mm","34.196mm","Bottom","0.9mm","Through hole"
"GND","Thermistors-1","6.532mm","34.196mm","Bottom","0.9mm","Through hole"
"KILL","EXP2-10","34.5826mm","69.904mm","Bottom","0.9mm","Through hole"
"GND","EXP2-9","34.5826mm","72.444mm","Bottom","0.9mm","Through hole"
"RESET","EXP2-8","37.1226mm","69.904mm","Bottom","0.9mm","Through hole"
